Punkt	Code	Jahr	Stratum	design_od_modell_basiert	x_rel_obs	y_rel_obs	x_UTM	y_UTM	Tiefe_zum_Oxidationshorizont_cm	Maechtigkeit_Oxidationshorizont_cm	Maechtigkeit_A_Horizont_cm	Maechtigkeit_AL_Schicht_cm	Gelaendehoehe_m	Bodenfeuchte_Prozent	pH	OBS
1	s1.1_d.1	2012	1	d	1024.008	990.002	311988	5846505	100	0	10	15	NA	NA	NA	NA
2	s1.1_d.2	2012	1	d	1016.022	1034.028	311980	5846549	100	0	10	0	NA	NA	NA	NA
3	s1.1_m.1	2012	1	m	1024.474	990.006	311988.5	5846505	100	0	15	20	NA	NA	NA	NA
4	s1.1_m.2	2012	1	m	1031.506	989.998	311995.5	5846505	85	15	NA	20	NA	NA	NA	NA
5	s1.2_d.1	2012	1	d	1010.017	1009.004	311974	5846524	100	0	32	0	NA	NA	NA	NA
6	s1.2_d.2	2012	1	d	1005.013	1000.005	311969	5846515	100	0	0	0	NA	NA	NA	NA
7	s1.2_m.1	2012	1	m	1010.502	1009.008	311974.5	5846524	100	0	34	0	NA	NA	NA	NA
8	s1.2_m.2	2012	1	m	1017.495	1008.985	311981.5	5846524	100	0	22	0	NA	NA	NA	NA
9	s1.3_d.1	2012	1	d	979	1002.02	311943	5846517	100	0	13	0	NA	NA	NA	NA
10	s1.3_d.2	2012	1	d	971.013	1004.018	311935	5846519	100	0	22	0	NA	NA	NA	NA
11	s1.3_m.1	2012	1	m	979.489	1001.984	311943.5	5846517	100	0	0	0	NA	NA	NA	NA
12	s1.3_m.2	2012	1	m	986.499	1001.986	311950.5	5846517	100	0	10	0	NA	NA	NA	NA
