"","Punkt","Jahr","Stratum","x_UTM","y_UTM","Tiefe_zum_Oxidationshorizont_cm","Maechtigkeit_Oxidationshorizont_cm","Maechtigkeit_A_Horizont_cm","Maechtigkeit_AL_Schicht_cm","Gelaendehoehe_m","Bodenfeuchte_Prozent","StratumName","linModel","errlinModel","bestlinModel","errbestlinModel","glm","errglm","glm_gamma","errglm_gamma","bestglm","errbestglm","treeModel","errtreeModel","OOB","errOOB","INB","errINB"
"35",35,2012,2,311874.5,5846520,32,25,25,100,98,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,2012,2,311881.5,5846520,25,55,36,100,98.171,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,2012,2,311914,5846480,19,81,22,100,98.914,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,2012,2,311910,5846483,22,78,20,80,98.916,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,2012,2,311914.5,5846480,35,65,26,80,98.907,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,2012,2,311921.5,5846480,70,30,NA,100,99,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,2012,2,312019,5846539,16,16,20,35,98.111,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,2012,2,312024,5846549,28,11,15,65,97.817,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,2012,2,312019.5,5846539,10,23,20,NA,98.072,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,2012,2,312026.5,5846539,40,40,40,45,97.895,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,2012,2,311947,5846445,31,69,40,100,98.777,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
