Punkt	Code	Jahr	Stratum	design_od_modell_basiert	x_rel_obs	y_rel_obs	x_UTM	y_UTM	Tiefe_zum_Oxidationshorizont_cm	Maechtigkeit_Oxidationshorizont_cm	Maechtigkeit_A_Horizont_cm	Maechtigkeit_AL_Schicht_cm	Gelaendehoehe_m	Bodenfeuchte_Prozent
61	s2.11_d.1	2012	2	d	958.006	911.013	311922	5846426	30	70	40	100	98.33	NA
62	s2.11_d.2	2012	2	d	942.01	919.988	311906	5846435	30	70	20	100	98.299	NA
63	s2.11_m.1	2012	2	m	958.482	910.99	311922.5	5846426	22	78	20	100	98.346	NA
64	s2.11_m.2	2012	2	m	965.513	911.011	311929.5	5846426	25	72	25	100	98.339	NA
65	s2.12_d.1	2012	2	d	918.005	920.013	311882	5846435	26	66	20	100	98.25	NA
66	s2.12_d.2	2012	2	d	907.014	939.991	311871	5846455	25	75	20	100	98.232	NA
67	s2.12_m.1	2012	2	m	918.493	920	311882.5	5846435	100	0	NA	100	98.238	NA
68	s2.12_m.2	2012	2	m	925.502	920.005	311889.5	5846435	25	75	20	100	98.283	NA
69	s2.13_d.1	2012	2	d	1029.005	929.013	311993	5846444	100	0	50	100	98.852	NA
70	s2.13_d.2	2012	2	d	1023.99	950.994	311988	5846466	100	0	NA	100	98.851	NA
71	s2.13_m.1	2012	2	m	1029.495	929.009	311993.5	5846444	35	65	60	100	98.848	NA
72	s2.13_m.2	2012	2	m	1036.492	928.986	312000.5	5846444	40	60	40	100	98.829	NA
73	s2.14_d.1	2012	2	d	932.994	1010.012	311897	5846525	100	0	55	35	98.51	NA
74	s2.14_d.2	2012	2	d	915.999	996.982	311880	5846512	26	74	30	100	98.506	NA
75	s2.14_m.1	2012	2	m	933.498	1010.011	311897.5	5846525	60	40	35	30	98.519	NA
76	s2.14_m.2	2012	2	m	940.512	1010.009	311904.5	5846525	80	15	10	40	98.667	NA
77	s2.15_d.1	2012	2	d	945.981	948.996	311910	5846464	47	53	10	100	99.055	NA
78	s2.15_d.2	2012	2	d	937.008	974.006	311901	5846489	41	59	5	100	99.061	NA
79	s2.15_m.1	2012	2	m	946.507	948.994	311910.5	5846464	41	59	15	100	99.042	NA
80	s2.15_m.2	2012	2	m	953.486	949.004	311917.5	5846464	55	45	20	100	99.082	NA
81	s2.16_d.1	2012	2	d	1052.006	952.977	312016	5846468	60	40	35	100	98.896	NA
82	s2.16_d.2	2012	2	d	1056	963.008	312020	5846478	42	58	43	100	98.92	NA
83	s2.16_m.1	2012	2	m	1052.505	952.998	312016.5	5846468	30	70	35	100	98.881	NA
84	s2.16_m.2	2012	2	m	1059.501	952.989	312023.5	5846468	50	50	22	100	98.876	NA
85	s2.17_d.1	2012	2	d	1032.005	883.011	311996	5846398	24	49	24	70	98.237	NA
86	s2.17_d.2	2012	2	d	1004.01	902.996	311968	5846418	26	74	55	100	98.438	NA
87	s2.17_m.1	2012	2	m	1032.5	883.004	311996.5	5846398	18	82	40	90	98.246	NA
88	s2.17_m.2	2012	2	m	1039.5	883.006	312003.5	5846398	27	41	21	100	98.291	NA
89	s2.18_d.1	2012	2	d	976.992	953.991	311941	5846469	26	74	18	75	98.982	NA
90	s2.18_d.2	2012	2	d	993.984	973.998	311958	5846489	67	33	65	70	99.089	NA
91	s2.18_m.1	2012	2	m	977.507	951.011	311941.5	5846466	25	75	55	100	98.851	NA
92	s2.18_m.2	2012	2	m	984.517	953.985	311948.5	5846469	21	79	NA	NA	98.885	NA
93	s3.1_d.1	2012	3	d	850.004	921.012	311814	5846436	22	66	19	90	97.803	NA
94	s3.1_d.2	2012	3	d	834.01	934.015	311798	5846449	NA	NA	NA	NA	97.775	NA
95	s3.1_m.1	2012	3	m	850.496	921.001	311814.5	5846436	NA	NA	NA	NA	97.787	NA
96	s3.1_m.2	2012	3	m	857.508	921.007	311821.5	5846436	13	87	15	100	97.786	NA
97	s3.2_d.1	2012	3	d	878	908.002	311842	5846423	100	0	23	65	97.735	NA
98	s3.2_d.2	2012	3	d	867.998	939.005	311832	5846454	NA	NA	NA	NA	97.906	NA
99	s3.2_m.1	2012	3	m	878.499	908.005	311842.5	5846423	100	0	20	100	97.72	NA
100	s3.2_m.2	2012	3	m	885.5	907.991	311849.5	5846423	NA	NA	NA	NA	97.666	NA
101	s3.3_d.1	2012	3	d	936.003	906.019	311900	5846421	32	47	35	85	97.918	NA
102	s3.3_d.2	2012	3	d	922.018	891.001	311886	5846406	23	56	20	100	97.777	NA
103	s3.3_m.1	2012	3	m	936.502	906.012	311900.5	5846421	34	21	15	65	97.91	NA
104	s3.3_m.2	2012	3	m	943.505	906.008	311907.5	5846421	NA	NA	NA	NA	98.072	NA
105	s3.4_d.1	2012	3	d	902.993	1029.997	311867	5846545	30	15	15	NA	97.869	NA
106	s3.4_d.2	2012	3	d	895.033	1002.014	311859	5846517	15	17	20	NA	97.845	NA
107	s3.4_m.1	2012	3	m	903.504	1029.98	311867.5	5846545	30	70	27	NA	97.863	NA
108	s3.4_m.2	2012	3	m	910.497	1029.999	311874.5	5846545	100	0	10	NA	97.737	NA
109	s3.5_d.1	2012	3	d	893.984	909.994	311858	5846425	22	7	20	100	97.737	NA
110	s3.5_d.2	2012	3	d	895.997	901.974	311860	5846417	34	52	36	100	97.76	NA
111	s3.5_m.1	2012	3	m	894.499	910.004	311858.5	5846425	31	20	25	100	97.756	NA
112	s3.5_m.2	2012	3	m	901.499	910.017	311865.5	5846425	35	60	NA	NA	97.801	NA
